model,rank,mean_cv_score,std_cv_score,C,penalty,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
LogisticRegression,138,0.6026767428524616,0.024216743624807958,0.06578820119123178,l1,,,,,,,
LogisticRegression,139,0.6026644548210044,0.025401515943724497,0.2655521712973634,l1,,,,,,,
LogisticRegression,140,0.6020275251904644,0.025604129766677267,0.024992040097457077,l2,,,,,,,
LogisticRegression,141,0.6014008355861391,0.020406222497403783,0.0010090061869151559,l2,,,,,,,
LogisticRegression,142,0.6013987875808962,0.023859938230287744,0.002263104379175706,l2,,,,,,,
LogisticRegression,143,0.6013864995494389,0.027026639910685327,0.19069966103000435,l1,,,,,,,
LogisticRegression,144,0.6007639059555993,0.022335923378852506,0.0012313366837328327,l2,,,,,,,
LogisticRegression,145,0.6007618579503564,0.022100461938807946,0.0016520335344561749,l2,,,,,,,
LogisticRegression,145,0.6007618579503564,0.02438414334883698,0.002634509839733607,l2,,,,,,,
LogisticRegression,147,0.6007598099451135,0.024677149699213214,0.0019517224641449498,l2,,,,,,,
LogisticRegression,147,0.6007598099451135,0.024677149699213214,0.0019145111285710716,l2,,,,,,,
LogisticRegression,147,0.6007598099451135,0.0201056904385132,0.0010615105476491013,l2,,,,,,,
LogisticRegression,150,0.6007577619398706,0.020342003807221166,0.004982752357076452,l2,,,,,,,
LogisticRegression,150,0.6007577619398706,0.020446602280643898,0.005959476116841321,l2,,,,,,,
LogisticRegression,150,0.6007577619398706,0.020446602280643898,0.006398916399944081,l2,,,,,,,
LogisticRegression,153,0.6007475219136561,0.02685220860337944,0.21568228019263963,l1,,,,,,,
LogisticRegression,154,0.6007454739084132,0.02990237926739858,0.14858392535729498,l1,,,,,,,
LogisticRegression,155,0.6001228803145737,0.021198853299826154,0.001537237406084697,l2,,,,,,,
LogisticRegression,155,0.6001228803145737,0.021198853299826154,0.0015991003111214825,l2,,,,,,,
LogisticRegression,157,0.6001126402883592,0.016418731196985236,0.013891530890192499,l2,,,,,,,
LogisticRegression,157,0.6001126402883592,0.016418731196985236,0.014271483774997191,l2,,,,,,,
LogisticRegression,157,0.6001126402883592,0.016418731196985236,0.013931273790066699,l2,,,,,,,
LogisticRegression,160,0.6001105922831161,0.018238088200529513,0.0161905444947165,l2,,,,,,,
LogisticRegression,161,0.5994839026787909,0.0210285318848174,0.0014340571602734114,l2,,,,,,,
LogisticRegression,162,0.5994798066683051,0.023914119185817425,0.003584710633004181,l2,,,,,,,
LogisticRegression,163,0.599479806668305,0.02214106168699639,0.00396251783257234,l2,,,,,,,
LogisticRegression,163,0.599479806668305,0.02214106168699639,0.003974905761171867,l2,,,,,,,
LogisticRegression,165,0.5994716146473336,0.018706081225119752,0.0165938903838158,l2,,,,,,,
LogisticRegression,166,0.5994695666420906,0.02682206594066373,0.1557294017048926,l1,,,,,,,
LogisticRegression,167,0.5988428770377652,0.021648505850989288,0.0014857392806279248,l2,,,,,,,
LogisticRegression,167,0.5988428770377652,0.021648505850989288,0.001463031458362092,l2,,,,,,,
LogisticRegression,169,0.5988326370115507,0.019976333424220828,0.021572728182603827,l2,,,,,,,
LogisticRegression,169,0.5988326370115507,0.01914612246102924,0.009867611000082873,l2,,,,,,,
LogisticRegression,169,0.5988326370115507,0.019976333424220828,0.019100059404114827,l2,,,,,,,
LogisticRegression,172,0.5988305890063079,0.025737152083965115,0.15876781526924,l1,,,,,,,
LogisticRegression,173,0.5988285410010651,0.02670727886215352,0.1746307482810358,l1,,,,,,,
LogisticRegression,174,0.5988285410010649,0.028339073315963307,0.13833139021965044,l1,,,,,,,
LogisticRegression,174,0.5988285410010649,0.028339073315963307,0.14445251022763064,l1,,,,,,,
LogisticRegression,176,0.5981957073810108,0.019509293643980203,0.008567424667875058,l2,,,,,,,
LogisticRegression,176,0.5981957073810108,0.019509293643980203,0.008263688714158009,l2,,,,,,,
